Colony,Site,DATE,Method,VisitID
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",14/10/2009,SURV,367
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",18/10/2000,SURV,368
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",19/11/2005,SURV,369
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",23/10/2014,SURV,370
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",25/10/2011,SURV,371
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",27/10/2015,SURV,372
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",28/10/2003,SURV,373
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",29/10/2013,SURV,374
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),01/04/2017,SURV,375
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),03/11/2000,SURV,376
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),04/04/2013,SURV,377
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),05/01/2011,SURV,378
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),05/04/2015,SURV,379
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),06/01/2012,SURV,380
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),08/04/2016,SURV,381
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),11/10/2010,SURV,382
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),13/10/2008,SURV,383
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),14/04/2011,SURV,384
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),17/04/2010,SURV,385
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),18/12/2008,SURV,386
